	Cunninghamella_echinulata_RSA_2017_Plus.aa	Cunninghamella_echinulata_RSA_2018-.aa
Number of genes	9570	9658
Number of genes in orthogroups	8730	8765
Number of unassigned genes	840	893
Percentage of genes in orthogroups	91.2	90.8
Percentage of unassigned genes	8.8	9.2
Number of orthogroups containing species	7605	7610
Percentage of orthogroups containing species	99.9	100.0
Number of species-specific orthogroups	3	8
Number of genes in species-specific orthogroups	14	53
Percentage of genes in species-specific orthogroups	0.1	0.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	8	3
'1	6850	6844
'2	568	567
'3	113	125
'4	35	34
'5	16	14
'6	11	10
'7	4	7
'8	2	1
'9	0	3
'10	1	1
11-15	5	4
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.1	0.0
'1	90.0	89.9
'2	7.5	7.4
'3	1.5	1.6
'4	0.5	0.4
'5	0.2	0.2
'6	0.1	0.1
'7	0.1	0.1
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	0.1	0.1
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	6850	6844
'2	1136	1134
'3	339	375
'4	140	136
'5	80	70
'6	66	60
'7	28	49
'8	16	8
'9	0	27
'10	10	10
11-15	65	52
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	71.6	70.9
'2	11.9	11.7
'3	3.5	3.9
'4	1.5	1.4
'5	0.8	0.7
'6	0.7	0.6
'7	0.3	0.5
'8	0.2	0.1
'9	0.0	0.3
'10	0.1	0.1
11-15	0.7	0.5
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
