	Thamnostylum_nigricans_RSA_1405-.aa	Thamnostylum_nigricans_RSA_1406.aa
Number of genes	11163	11557
Number of genes in orthogroups	10518	10665
Number of unassigned genes	645	892
Percentage of genes in orthogroups	94.2	92.3
Percentage of unassigned genes	5.8	7.7
Number of orthogroups containing species	9083	9084
Percentage of orthogroups containing species	99.9	99.9
Number of species-specific orthogroups	5	6
Number of genes in species-specific orthogroups	39	57
Percentage of genes in species-specific orthogroups	0.3	0.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	6	5
'1	8119	8067
'2	710	722
'3	157	183
'4	51	54
'5	25	25
'6	8	13
'7	5	7
'8	1	6
'9	2	1
'10	2	1
11-15	1	3
16-20	1	2
21-50	1	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.1	0.1
'1	89.3	88.8
'2	7.8	7.9
'3	1.7	2.0
'4	0.6	0.6
'5	0.3	0.3
'6	0.1	0.1
'7	0.1	0.1
'8	0.0	0.1
'9	0.0	0.0
'10	0.0	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	8119	8067
'2	1420	1444
'3	471	549
'4	204	216
'5	125	125
'6	48	78
'7	35	49
'8	8	48
'9	18	9
'10	20	10
11-15	11	34
16-20	17	36
21-50	22	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	72.7	69.8
'2	12.7	12.5
'3	4.2	4.8
'4	1.8	1.9
'5	1.1	1.1
'6	0.4	0.7
'7	0.3	0.4
'8	0.1	0.4
'9	0.2	0.1
'10	0.2	0.1
11-15	0.1	0.3
16-20	0.2	0.3
21-50	0.2	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
